time,Direction,Lead_hours,Source_time,Speed
2024-03-07 09:00:00+00:00,SSE,1,1709794800,8.9408
2024-03-07 12:00:00+00:00,SSE,1,1709805600,8.04672
2024-03-07 15:00:00+00:00,SSE,1,1709816400,8.9408
2024-03-07 18:00:00+00:00,SSE,1,1709827200,8.9408
2024-03-07 21:00:00+00:00,SE,1,1709838000,8.9408
2024-03-08 00:00:00+00:00,SE,1,1709848800,8.04672
2024-03-08 03:00:00+00:00,SE,1,1709859600,9.83488
2024-03-08 06:00:00+00:00,SE,1,1709870400,9.83488
2024-03-08 09:00:00+00:00,ESE,1,1709881200,9.83488
2024-03-08 12:00:00+00:00,ESE,1,1709892000,11.176
2024-03-08 15:00:00+00:00,ESE,1,1709902800,8.9408
2024-03-08 18:00:00+00:00,E,1,1709913600,9.83488
2024-03-08 21:00:00+00:00,E,1,1709924400,11.176
2024-03-09 00:00:00+00:00,E,1,1709935200,8.9408
2024-03-09 03:00:00+00:00,E,1,1709946000,8.9408
2024-03-09 06:00:00+00:00,E,1,1709956800,8.9408
2024-03-09 09:00:00+00:00,E,1,1709967600,9.83488
2024-03-09 12:00:00+00:00,E,1,1709978400,11.176
2024-03-09 15:00:00+00:00,E,1,1709989200,11.176
2024-03-09 18:00:00+00:00,E,1,1710000000,9.83488
2024-03-09 21:00:00+00:00,ESE,1,1710010800,9.83488
2024-03-10 00:00:00+00:00,ESE,1,1710021600,11.176
2024-03-10 03:00:00+00:00,ESE,1,1710032400,12.070079999999999
2024-03-10 06:00:00+00:00,ESE,1,1710043200,12.070079999999999
2024-03-10 09:00:00+00:00,ESE,1,1710054000,12.96416
2024-03-10 12:00:00+00:00,SE,1,1710064800,13.85824
2024-03-10 15:00:00+00:00,SE,1,1710075600,11.176
2024-03-10 18:00:00+00:00,ESE,1,1710086400,11.176
2024-03-10 21:00:00+00:00,SE,1,1710097200,11.176
2024-03-11 00:00:00+00:00,ESE,1,1710108000,12.070079999999999
2024-03-11 03:00:00+00:00,ESE,1,1710118800,11.176
2024-03-11 06:00:00+00:00,SE,1,1710129600,9.83488
2024-03-11 09:00:00+00:00,SE,1,1710140400,9.83488
